"","user_screen_name"
"467","BondSora"
"468","qldlander"
"469","SafeInTheArms"
"470","larry_longmore"
"471","Necie_624"
"472","derekjwhite01"
"473","MikeEsqueda2"
"474","1AnnaStanley"
"475","OnePlumpNation"
"476","racheld48040847"
"477","ginaloera3"
"478","averyklatsky"
"479","d2ddickey"
"480","USMC_CPD296"
"481","RealGir20221950"
"482","troy4trump_99"
"483","mswaller48"
"484","DeplorableLL"
"485","RoycePhillips"
"486","RWDiogo"
"487","BlueRunner56"
"488","tturdburger68"
"489","FlyingSpider71"
"490","kimdee2"
"491","Doubldc"
"492","bjharroun"
"493","kgypatsfan"
"494","Epluribusunimus"
"495","BryanCourtney9"
"496","Theresa46553873"
"497","sheryltfree"
"498","edwarddreed"
"499","JWMartinGoNoles"
"500","BiddyThe"
"501","Patrici38689756"
"502","misha1dibbs"
"503","GatlinGatlin5"
"504","JillMayfield"
"505","josephadeangelo"
"506","hargroder_mary"
"507","lonewolflair"
"508","brink53d"
"509","JanviOza1"
"510","jlorenz1110"
"511","CoffeyJ317"
"512","BubbaEveridge"
"513","Shutch20"
"514","DavidHuntSmith"
"515","golfsally"
"516","WillisTobin"
"517","porshetiam"
"518","mjdallasblue"
"519","lisasolis211"
"520","TrueAg76"
"521","Frank26689741"
"522","Audrakat"
"523","TrumpTweets45"
"524","rsensitivelife1"
"525","shimjelly"
"526","ranchmemaw"
"527","zipnpose"
"528","LJR1106"
"529","Nagk8"
"530","twd1949"
"531","DeplorableBride"
"532","sheep_stand"
"533","QuantumTransfer"
"534","Ralph_F_Mariano"
"535","Prinsenrose"
"536","gaurdello"
"537","Deplorable4TX"
"538","grammyrepub"
"539","rperry665"
"540","JohnAnd011"
"541","debamelxof"
"542","PeaceMakerTrump"
"543","Derekle30414249"
"544","AllanSpringer"
"545","redwing13040774"
"546","jack53224797"
"547","Lynrandelle"
"548","almfox"
"549","Vicki06242573"
"550","Trueplants"
"551","JOYJOHNSON14"
"552","AvrettKaren"
"553","SillyLibs_"
"554","TexBeckham"
"555","EdDeLosh"
"556","thathad2hurt"
"557","LynnieLorenz"
"558","acecigars"
"559","FoxtrotKilo39"
"560","JoelRooks"
"561","Greg05Jackie25"
"562","iOSDevTopix"
"563","KayV34"
"564","ginamulder2323"
"565","nsmarine_elisa"
"566","Rgrm002000"
"567","DjangoWolfe"
"568","wildhorse24"
"569","CooperGetschal"
"570","MaryAnn4Trump"
"571","RandyCo34346596"
"572","tamjjam"
"573","starrbasket"
"574","tweetmerite1"
"575","andreacitymom"
"576","CandyGirlCLW"
"577","jerrylmassey"
"578","JamesGillen5"
"579","notsofastlane56"
"580","KateQui87924488"
"581","derdarr1959"
"582","slghenderson87"
"583","wazzyb1"
"584","J_Wade_Miller"
"585","JudiLynnMitche1"
"586","TommyJo33624688"
